"legacy_path","canonical_path","hash","bytes","kind","replacement_type","poster_path","video_webm_path","video_mp4_path","backup_path","preserve_original_in_repo","referenced","included_in_live_site"
"uploads/9/1/6/0/91600416/pcid-1273213.jpeg","/media/images/pcid-1273213.jpeg","147B0A445F8EEC8B00AAA83A35BADAF685483EF7876296DC4C9142CB7062D876","9547","image","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/pcid-1273213_orig.jpeg","","773E3FE9411C67E4CDA957C9A3204000131108AC74DA91A1E619233A86D34C79","7326","image","excluded-unreferenced","","","","","False","False","False"
"uploads/9/1/6/0/91600416/pcid-1273213-1_1.jpeg","/media/images/pcid-1273213.jpeg","147B0A445F8EEC8B00AAA83A35BADAF685483EF7876296DC4C9142CB7062D876","9547","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/pcid-1273213-1_2.jpeg","/media/images/pcid-1273213.jpeg","147B0A445F8EEC8B00AAA83A35BADAF685483EF7876296DC4C9142CB7062D876","9547","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/pcid-1273213-1_3.jpeg","/media/images/pcid-1273213.jpeg","147B0A445F8EEC8B00AAA83A35BADAF685483EF7876296DC4C9142CB7062D876","9547","image","deduped","","","","","False","False","True"
"uploads/9/1/6/0/91600416/pcid-1273213-1_6.jpeg","/media/images/pcid-1273213.jpeg","147B0A445F8EEC8B00AAA83A35BADAF685483EF7876296DC4C9142CB7062D876","9547","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/pcid-1273213-1_7.jpeg","/media/images/pcid-1273213.jpeg","147B0A445F8EEC8B00AAA83A35BADAF685483EF7876296DC4C9142CB7062D876","9547","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/pcid-1273213-1_8.jpeg","/media/images/pcid-1273213.jpeg","147B0A445F8EEC8B00AAA83A35BADAF685483EF7876296DC4C9142CB7062D876","9547","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/pcid-1273213-1_9.jpeg","/media/images/pcid-1273213.jpeg","147B0A445F8EEC8B00AAA83A35BADAF685483EF7876296DC4C9142CB7062D876","9547","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/pegasustaxi_orig.png","/media/images/pegasustaxi-orig.png","BC5E41D5FEB75A0CA652A760FDE1C8441CC08DA38BAF06E447A8D02D294F7798","2228351","image","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/phenomenoconnectomics_and_the_neural_correlates_of_altered_consciousness.pdf","/library/pdfs/phenomenoconnectomics-and-the-neural-correlates-of-altered-consciousness.pdf","6E64176B9CD0D834A1668D44BEB38E46B486315C3B4FC44480051E60FB40DAB6","515915","pdf","same","","","","","True","True","True"
"uploads/9/1/6/0/91600416/phenomenoconnectomics_and_the_neural_correlates_of_altered_consciousness_alius.pdf","/library/pdfs/phenomenoconnectomics-and-the-neural-correlates-of-altered-consciousness-alius.pdf","443186E5E602255FD1D7DC5A4322A12A1FB06B6B7363F777EB2AD11B5D6915EF","509384","pdf","same","","","","","True","False","True"
"uploads/9/1/6/0/91600416/phenoneologicalplayground_orig.png","/media/images/phenoneologicalplayground-orig.png","435E1555FC5DA73909C4220AB9CC356B276FD86CFCDA51E5D345B8B84A9660EA","2258634","image","same","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot_1.jpg","","61594951049233EAE4C0BADE6FA67A751625468D44BC3CB6300EE5257064652B","60813","image","excluded-unreferenced","","","","","False","False","False"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_1.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","False","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_10.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_11.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_12.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_13.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","True","True"
"uploads/9/1/6/0/91600416/photo-lena-coutrot-orig_15.jpg","/media/images/photo-lena-coutrot-orig-3.jpg","A119439302A58254C5602952EDDA0F4FE1A96C76E9B9426183E1BE8F314E15DD","60755","image","deduped","","","","","False","True","True"
